"id";"base_amount";"category";"image";"name";"price";"short_desc";"unit";"weight_per_unit"
1;190;"FISH";"https://cdcimg.coop.no/rte/RTE2/7071322968012.png";"Salma Laks";94.9;"Salma Laks";"GRAMS";1.0
2;500;"DRYGOODS";"https://bilder.ngdata.no/7035620053566/kmh/large.jpg";"Spaghetti Fullkorn";19.9;"Spaghetti laget med 100% fullkorn durumhvete. Pastaen er formet som lange, tynne tråder og er en tradisjonell pastafasong i det italienske kjøkken.";"GRAMS";1.0
3;2;"VEGETABLES";"https://bilder.ngdata.no/7040514501634/kmh/large.jpg";"Rødløk";17.9;"Rødløk 2stk i Strømpe";"ITEM";90.0
4;250;"VEGETABLES";"https://bilder.ngdata.no/5903240555628/meny/large.jpg";"Aromasopp";20.93;"Aromasopp 250g";"GRAMS";1.0
5;300;"DAIRY";"https://bilder.ngdata.no/7038010041914/kmh/large.jpg";"Kremfløte";26.9;"TINE Kremfløte er et ferskt meieriprodukt som hever smaken på matretter. TINE Kremfløte innholder 37 38 % fett, og lokker frem råvarenes unike smaker.";"MILLILITER";1.0
6;400;"MEAT";"https://cdcimg.coop.no/rte/RTE2/7037203627263.png";"Kjøttdeig Storfe";79.9;"Gilde kjøttdeig av storfe";"GRAMS";1.0
7;400;"VEGETABLES";"https://bilder.ngdata.no/80042556/kmh/large.jpg";"Tomater hakkede";22.9;"Mutti knuste tomater inneholder mer vann enn tomatpure, og passer derfor perfekt til eggbasert pasta. Den er også perfekt til baking og til retter med lang steke/koketid, som kjøttsauser og gryter. Sausen har en fyldig tomatsmak.";"GRAMS";1.0
8;1;"VEGETABLES";"https://bilder.ngdata.no/7035620006609/kmh/large.jpg";"Kidneybønner";13.9;"Ferdigkokte kidneybønner. Passer godt i gryter, taco og salat, eller som tilbehør til middag.";"ITEM";380.0
9;300;"DAIRY";"https://bilder.ngdata.no/7038010005459/kmh/large.jpg";"Lettrømme";22.9;"TINE Lettrømme er syrnet helmelk og kremfløte. Den har en rund, syrlig og frisk smak.";"GRAMS";1.0
10;2;"VEGETABLES";"https://bilder.ngdata.no/7040511504980/kmh/large.jpg";"Avocado 2pk ";44.9;"Avokado 2pk spisemoden";"ITEM";150.0
11;2000;"DRYGOODS";"https://bilder.ngdata.no/7311041001363/kmh/large.jpg";"Jasminris";44.9;"Jasminris er en lett klebrig ris som er velegnet til orientalske retter. Den har en aromatisk duft og smak, og passer svært godt til asiatiske  kjøtt- og grønnsaksretter.";"GRAMS";1.0
12;12;"EGG";"https://bilder.ngdata.no/7039610000318/kmh/large.jpg";"Frokostegg";36.33;"Egg fra norske bønder hvor hønene har tilgang på elementer som gir økt trivsel.";"ITEM";65.0
13;2;"CHICKEN";"https://res.cloudinary.com/norgesgruppen/image/upload/v1623215163/Product/7039610006648.jpg";"Kyllingfilet";79.9;"Kyllingfilet prior 400g";"ITEM";200.0
14;150;"DRYGOODS";"https://bilder.ngdata.no/8715035110106/kmh/large.jpg";"Soyasaus";49.9;"Naturlig brygget Kikkoman soyasaus full av herlig smak og umami, og med mer enn 300 års historie. Hever den naturlige smaken i alle retter.";"MILLILITER";1.0
15;250;"DRYGOODS";"https://bilder.ngdata.no/7035620000225/kmh/large.jpg";"Eggnudler";19.9;"Eggnudler er et svært godt utgangspunkt når du vil ha rask og enkel, asiatiskinspirert hverdagsmat. Perfekt å bruke til wok med grønnsaker, fisk, kylling og kjøtt. ";"GRAMS";1.0
16;1;"VEGETABLES";"https://bilder.ngdata.no/7040515503118/kmh/large.jpg";"Agurk";27.9;"Agurk importert fra Marcello sitt hjemland";"ITEM";300.0
17;900;"VEGETABLES";"https://res.cloudinary.com/norgesgruppen/image/upload/v1597277372/Product/7040512040487.jpg";"Nypotet Små Gule";29.9;"Nypotet Små Gule kokfaste 900g";"GRAMS";1.0
18;500;"DAIRY";"https://cdcimg.coop.no/rte/RTE2/7036110009698.png";"Melange Margarin";37.9;"Klassikeren siden 1919 som passer perfekt både til steking- og baking";"GRAMS";1.0
19;800;"MEAT";"https://bilder.ngdata.no/7037204725524/kmh/large.jpg";"Kjøttboller";96.9;"Kjøttboller Svenske Stekte 800g Gilde";"GRAMS";1.0
20;44;"DRYGOODS";"https://engrosnett.no/image/ferdigmat/sauser-ferdige-og-torre/4073797-4073797.jpg?lb=true&v=638181040315070000";"Brun Saus";15.0;"Brun saus er en av Norges mest brukte sauser til kjøtt og et godt utgangspunkt for å lage din egen saus. Prøv den til kjøttkaker, karbonade eller pølser. 27 STK PER KARTONGTrykk her for mer informasjon Oppgi ditt postnummer for å se hvilken varer vi kan t";"ITEM";1.0
21;8;"DRYGOODS";"https://bilder.kolonial.no/produkter/2cbe5b67-0248-4ce9-bd95-ed63c6d13e19.jpg?auto=format&fit=max&w=500&s=d06e33940471c01a9814176c8835ed02";"Tortilla lefse Large";34.2;"Myke hvetetortillas som kan brukes til fajitas, wraps eller til det klassiske tacomåltidet.";"ITEM";60.0
22;1;"DRYGOODS";"https://www.holdbart.no/images/thumbs/0005365_taco-spice-mix-25-g-old-el-paso_550.png";"Taco Spice Mix";3.9;"Taco Spice Mix 25 g, Old El Paso";"ITEM";25.0
23;1000;"DAIRY";"https://cdcimg.coop.no/rte/RTE2/2002148200005.png";"Norvegia Gulost";128.18;"Den har små og runde hull. Den har en smidig konsistens og en ren, mild, aromatisk og svakt syrlig smak.";"GRAMS";1.0
